iter	Passed	Remaining
0	1	118
1	2	117
2	3	112
3	4	105
4	5	105
5	7	112
6	8	114
7	9	112
8	10	111
9	11	107
10	12	104
11	13	102
12	14	99
13	15	97
14	16	94
15	17	92
16	18	90
17	19	88
18	20	86
19	21	86
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	26	75
26	27	74
27	28	72
28	28	70
29	29	69
30	30	67
31	31	66
32	31	64
33	32	62
34	32	60
35	33	59
36	33	57
37	34	56
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	48
44	38	47
45	39	46
46	39	44
47	40	43
48	40	42
49	41	41
50	41	40
51	42	39
52	42	38
53	43	37
54	43	35
55	44	34
56	44	33
57	45	32
58	46	31
59	46	31
60	47	30
61	47	29
62	48	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	56	17
76	57	17
77	57	16
78	58	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	62	9
87	63	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
