iter	Passed	Remaining
0	0	905
1	1	811
2	2	800
3	3	805
4	4	841
5	4	820
6	5	802
7	6	785
8	7	772
9	7	763
10	8	752
11	9	743
12	9	736
13	10	730
14	11	728
15	11	723
16	12	718
17	13	715
18	13	712
19	14	709
20	15	708
21	15	706
22	16	706
23	17	701
24	18	706
25	19	720
26	19	718
27	20	716
28	21	717
29	22	715
30	22	714
31	23	711
32	24	706
33	24	705
34	25	703
35	26	700
36	26	698
37	27	697
38	28	695
39	28	694
40	29	692
41	30	691
42	31	689
43	31	687
44	32	686
45	33	685
46	34	689
47	34	690
48	35	692
49	36	690
50	37	688
51	37	685
52	38	684
53	38	682
54	39	681
55	40	679
56	41	678
57	41	677
58	42	675
59	43	675
60	43	673
61	44	671
62	44	668
63	45	666
64	46	664
65	46	661
66	47	659
67	48	659
68	49	662
69	49	662
70	50	662
71	51	660
72	51	659
73	52	657
74	53	654
75	53	652
76	54	650
77	54	648
78	55	645
79	55	643
80	56	641
81	57	639
82	57	634
83	58	632
84	58	630
85	59	628
86	59	627
87	60	625
88	60	623
89	61	622
90	62	620
91	62	619
92	63	620
93	64	621
94	65	621
95	65	621
96	66	619
97	67	618
98	67	616
99	68	616
100	69	614
101	69	612
102	70	611
103	70	609
104	71	607
105	71	605
106	72	604
107	72	602
108	73	600
109	74	599
110	74	597
111	75	596
112	75	594
113	76	593
114	76	592
115	77	590
116	78	589
117	78	590
118	79	591
119	80	590
120	81	589
121	81	587
122	82	588
123	83	587
124	83	586
125	84	584
126	84	582
127	85	581
128	85	579
129	86	578
130	87	577
131	87	575
132	88	574
133	88	573
134	89	572
135	89	570
136	90	569
137	91	568
138	91	567
139	92	566
140	93	571
141	94	570
142	95	570
143	95	569
144	96	569
145	97	568
146	98	568
147	98	568
148	99	567
149	99	566
150	100	565
151	101	564
152	101	562
153	102	561
154	102	560
155	103	559
156	103	557
157	104	556
158	105	555
159	105	554
160	106	552
161	106	552
162	107	552
163	108	553
164	109	554
165	110	553
166	110	553
167	111	552
168	112	553
169	113	553
170	113	552
171	114	551
172	115	550
173	115	549
174	116	547
175	116	546
176	117	545
177	117	544
178	118	543
179	118	541
180	119	540
181	120	539
182	120	538
183	121	537
184	121	537
185	122	535
186	123	535
187	124	535
188	124	536
189	125	535
190	126	534
191	126	534
192	127	533
193	128	532
194	128	531
195	129	530
196	129	529
197	130	528
198	130	527
199	131	526
200	132	525
201	132	523
202	133	522
203	133	521
204	134	520
205	134	519
206	135	519
207	136	518
208	136	517
209	137	516
210	137	515
211	138	514
212	139	515
213	140	515
214	140	514
215	141	513
216	142	513
217	142	511
218	143	510
219	143	509
220	144	508
221	144	507
222	145	506
223	145	505
224	146	504
225	147	504
226	147	503
227	148	502
228	149	502
229	149	501
230	150	500
231	150	499
232	151	498
233	152	498
234	152	497
235	153	496
236	154	497
237	155	496
